title,description,class
La Liga Preview: GetafeValencia,The Che are gasping for air in the turbulent waters of La Liga. Now they must fight to ensure their next breath is not their last in the quest to retain the Championship when they travel to new boys Getafe.,Sports
"Typhoon Meari Hits South Japan, Triggers Floods"," TOKYO (Reuters) - A record eighth typhoon swept through  southern Japan on Wednesday, killing at least two people,  triggering floods and strong winds that forced the evacuation  of tens of thousands.",World
Intel stock tumbles 7 after lowered outlook,"SAN FRANCISCO - Intel Corp. #39;s shares fell more than 7 percent yesterday, a day after the computer chip giant #39;s management lowered the company #39;s financial projections after concluding businesses and consumers aren #39;t in a spending mood.",Business
AP: Kids Left in Africa Begged for Change,"IBADAN, Nigeria - Allegedly abandoned by their American mother in Africa, seven children from Texas begged small change to buy food and shuttled from a neglectful stranger's care to a concrete-block orphanage, Nigerians said Thursday.    Eventually, the children proved their American citizenship to a passing missionary from Texas by singing ""The Star-Spangled Banner."" He notified U.S...",World
World #39;s largest hard drive released,MAKERS OF PC bits and bobs Seagate Technology today announced that it has shipped what it reckons is the world #39;s largest PC hard drive.,Sci/Tech
Israeli Army Confronts Homemade Weapons (AP),"AP - It's a hugely lopsided fight, pitting Israeli troops with high-tech arms and precise intelligence against untrained Palestinian gunmen relying on homemade weapons.",World
"Cisco touts core router customers, smaller platform","A research center in Pittsburgh as well as a broadband service provider and an academic network in Japan all have bought Cisco System's first totally new core routing platform in seven years, which was introduced with fanfare in June, the company announced Monday.",Sci/Tech
"England, Germany Win Cup Qualifying Preps (AP)","AP - Looking to rebound after poor showings in Euro 2004, England and Germany won tuneup games Wednesday in preparation for qualifiers for the 2006 World Cup.",Sports
Heroics of Ryder Cup inspire Stenson to victory,"Having lost four of the last five Ryder Cups, an even bigger worry for American golf should be that they have lost the last three Walker Cups.",Sports
Doom 3 unleashes hell ,Doom 3 combines hectic gameplay with genuine shocks to deliver a deliciously uncomfortable gaming experience.,Sci/Tech
SpaceShipOne blasts off,"com September 29, 2004, 7:06 AM PT. MOJAVE, Calif.--A specialized plane carrying a suborbital spacecraft took off shortly before 7:15 am PDT in an attempt to complete the first phase in the race to privatize space travel.",Sci/Tech
"James Doesn't Practice, May Play Tomorrow (AP)",AP - LeBron James was fitted with a mask to protect his broken left cheek and might play in the Cleveland Cavaliers' next game even though he only shot during practice Sunday.,Sports
Auburn focused on clinching spot in SEC championship,"Tommy Tuberville returns to Mississippi with a trip to Atlanta on the line, and he #39;s bringing his best Auburn team yet. The third-ranked Tigers need one win to lock up a spot in the Southeastern Conference ",Sports
France intensifies efforts to secure hostages' release (AFP),"AFP - The French government intensified efforts to secure the release of two journalists held hostage by Islamic militants in Iraq, a day after they were shown on Arabic television pleading for their lives.",World
The Election That Never Ends ... Online (washingtonpost.com),"washingtonpost.com - John Kerry may have conceded his loss in the presidential election the day after the polls closed last week, but the blogosphere is still abuzz with charges of e-voting machine fraud and other conspiracy theories claiming that President Bush didn't fairly (or actually) win reelection.",Sci/Tech
Overseas Investors May Purchase \$15 Billion of China #39;s Bad Debt,"International investors may buy as much as \$15 billion in bad loans in China in the next three years, said PricewaterhouseCoopers LLP, the world #39;s third-biggest accounting firm.",Business
McEnroe backs Henman,"John McEnroe believes Tim Henman can pick up the 1million winner #39;s cheque at the Tennis Master Cup in Houston next week. McEnroe, who will be at the Albert Hall for the Masters ",Sports
A New Judgment Day For Decalogue Displays (washingtonpost.com),"washingtonpost.com - Sometime in late winter, advocates for and opponents of public displays of the Ten Commandments will argue the issue before the U.S. Supreme Court for the first time in 25 years.",World
Golovin gives Fed Cup holders France 1-0 lead,"Tatiana Golovin, making her Fed Cup singles debut, beat Anabel Medina Garrigues 6-3 6-3 to give under-strength champions France an early 1-0 lead in their semi-final against Spain on Wednesday.",Sports
Report: Citigroup to Bid for Cazenove," LONDON (Reuters) - U.S. investment bank Citigroup is set to  bid for UK stockbroker Cazenove &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=CAZ.UL target=/stocks/quickinfo/fullquote""&gt;CAZ.UL&lt;/A&gt;, challenging rivals JP  Morgan &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=JPM.L target=/stocks/quickinfo/fullquote""&gt;JPM.L&lt;/A&gt; and Lehman Brothers &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=LEH.N target=/stocks/quickinfo/fullquote""&gt;LEH.N&lt;/A&gt; for the City's most  venerable institution, the Observer reported.",Business
Israel army kills Jihad militant,Troops kill a militant in the Gaza Strip as it emerges the army has a new radar system that gives warning of Qassam rockets.,World
"Digital Gear: Gadgets, Networks Go Mobile (PC World)","PC World - A high-capacity cigar, keys to the Internet, disc repair tools, Bluetooth add-on kit, and more.",Sci/Tech
Vodafone finally launches 3G mobile,"London-based Vodafone has finally rolled out its mass-market third-generation (or 3G) mobile telephone services after a four-year wait, billions of pounds spent on licences and numerous delays.",Sci/Tech
Rugby U: Wales crush Romania,Tom Shanklin scores a record-equalling four tries as Wales overwhelm Romania.,World
La Liga Wrap: Barca Go 12 Points Clear,A Xavi Hernandez volley six minutes from time fired Barcelona to a 2-1 away win over Albacete and extended their lead at the top of the Primera Liga to 12 points over second-placed rivals Real Madrid.,Sports
Greece protests US move of recognizing Macedonia,"Greece on Thursday sharply protesteda US decision to recognize the former Yugoslav state on its northern border as  quot;Macedonia quot;, the same name as a northern Greek province where Alexander the Great was born.",World
Depor look to home games for recovery after shaky start,Deportivo Coruna believe that with home games against Liverpool and Monaco still to come they can recover from a poor start in the Champions League to qualify for the knockout stages of the competition.,Sports
Justice minister set to announce long-awaited Truscott decision (Canadian Press),"Canadian Press - OTTAWA (CP) - On a warm June evening in 1959, two kids rode a bicycle down a lonesome county road in southwestern Ontario.",World
Champions League: Group C review - Juve and Bayern in cruise &lt;b&gt;...&lt;/b&gt;,And so to the terrifyingly dull event that was Matchday 6 in Group C. The only issue to be resolved here was whether it would be Ajax or Maccabi Tel Aviv who would secure the UEFA Cup spot.,Sports
What #39;s Next For Mozilla?,"ezberry writes  quot;After releasing version 1.0 of Firefox, what #39;s ahead for the Mozilla Foundation and the venerable Firefox browser?",Sci/Tech
Karzai's Opponents Claim Fraud in Election,"KABUL, Afghanistan - Afghans packed polling stations on Saturday for a historic presidential election that was blemished when all 15 candidates opposing U.S.-backed interim President Hamid Karzai withdrew, charging the government and the U.N. with fraud and incompetence...",World
Israel split over E Jerusalem residents participation in polls :,"Jerusalem, Nov 14 : Israel is divided over a US proposition to allow East Jerusalem residents to participate in elections for a new Palestinian Authority chairman, to lend it greater credibility.",World
Powell Regrets Iraq Weapons Claim for War,"ATLANTA - Secretary of State Colin Powell said Friday he regrets the Bush administration claimed that Iraq had stockpiles of weapons of mass destruction in its argument for war, but he believes the world is better off without Saddam Hussein.    Following a speech to the Atlanta Press Club, Powell defended the bulk of his presentation to the United Nations in February 2003 in which he made the case for war in Iraq...",World
